,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
37,The Squaw Man,1914,Not Rated,15 Feb 1914,74 min,"Action, Drama, Romance, Western","Oscar Apfel, Cecil B. DeMille","Edwin Milton Royle (play), Cecil B. DeMille (picturized by), Oscar Apfel (picturized by)","Dustin Farnum, Monroe Salisbury, Winifred Kingston, Mrs. A.W. Filson",A chivalrous British officer takes the blame for his cousin's embezzlement and journeys to the American West to start a new life on a cattle ranch.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjMwODQwODI3Nl5BMl5BanBnXkFtZTgwMDA1ODI3MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}]",N/A,5.7,897,tt0004635,movie,10 Apr 2020,N/A,Jesse L. Lasky Feature Play Co.,N/A,True,
38,Tess of the Storm Country,1914,N/A,30 Mar 1914,80 min,Drama,Edwin S. Porter,"Grace Miller White (novel), B.P. Schulberg","Mary Pickford, Harold Lockwood, Olive Carey, David Hartford","A wealthy resident attempts to dispossess squatters who live near his home, which leads to a false accusation of murder.","None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BOWNhMWVjYzctMDg3NC00MjJjLTkzNzUtZDAxMTllNTY4NDYwXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,188,tt0004681,movie,N/A,N/A,N/A,N/A,True,
39,Tillie's Punctured Romance,1914,Not Rated,21 Dec 1914,82 min,Comedy,"Mack Sennett, Charles Bennett",N/A,"Marie Dressler, Charles Chaplin, Mabel Normand, Mack Swain",A con man from the city dupes a wealthy country girl into marriage.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMDZjOWQ4NWMtOTA1Yy00ZjliLTk2ZWQtYmI3ZDg2OTA5MTVkXkEyXkFqcGdeQXVyMDgyNjA5MA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",N/A,6.3,"3,304",tt0004707,movie,16 Aug 2020,N/A,Keystone Pictures,N/A,True,
40,The Undesirable,1915,Not Rated,19 Jan 2016,67 min,Drama,Michael Curtiz,"Jenö Janovics, Ede Tóth (play)","Lili Berky, Victor Varconi, Mari Jászai, Andor Szakács","Betty (Lili Berky, Duel For Nothing), a young woman living in the country, is told by her dying father that he is really her uncle and raised her as his own when her mother was sent to ...","None, Hungarian",Hungary,N/A,https://m.media-amazon.com/images/M/MV5BNWFmZGM4ZjMtODJjZC00NGQ2LWEwMjYtNzM4Y2ViNjBmMzYxXkEyXkFqcGdeQXVyMDI3OTIzOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,171,tt0004712,movie,N/A,N/A,N/A,N/A,True,
41,Uncle Tom's Cabin,1914,N/A,10 Aug 1914,54 min,Drama,William Robert Daly,"Harriet Beecher Stowe (novel), George L. Aiken (play), Edward McWade","Sam Lucas, Walter Hitchcock, Hattie Delaro, Master Abernathy",A black and white silent film based on Harriet Beecher Stowe's novel documenting the life and times of Uncle Tom.,None,USA,1 win.,https://m.media-amazon.com/images/M/MV5BYjIwODU3ZTEtOTM3Yy00YjY4LWE4NjMtNWI1Yjk4ZDQ3MjNiXkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,116,tt0004743,movie,N/A,N/A,N/A,N/A,True,
42,The Virginian,1914,Passed,07 Sep 1914,55 min,Western,Cecil B. DeMille,"Owen Wister (novel), Kirk La Shelle (scenario)","Dustin Farnum, Jack W. Johnston, Sydney Deane, William Elmer","A good-natured but chivalrous cowboy romances the local schoolmarm and leads the posse that brings a gang of rustlers, which includes his best friend, to justice.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BN2M2OTAyZGItNzIzYi00NGY1LThhZjEtODdkY2VmNmRmMGFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,182,tt0004766,movie,N/A,N/A,N/A,N/A,True,
43,The Wishing Ring: An Idyll of Old England,1914,N/A,09 Nov 1914,54 min,"Comedy, Drama",Maurice Tourneur,"Owen Davis (play), Maurice Tourneur (scenario)","Vivian Martin, Alec B. Francis, Chester Barnett, Gyp Williams","After being expelled from college, Giles runs away from home and meets a young lady who he falls for.","None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BYTM1OWY1NmUtYTA1OS00MjlhLWE4ODctZjQxZGMyYjIxZDFjXkEyXkFqcGdeQXVyMTY2MDM3MTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,255,tt0004825,movie,N/A,N/A,N/A,N/A,True,
44,The Wrath of the Gods,1914,N/A,08 Jun 1914,56 min,"Drama, Romance",Reginald Barker,"William H. Clifford, Thomas H. Ince, C. Gardner Sullivan","Sessue Hayakawa, Tsuru Aoki, Frank Borzage, Kisaburô Kurihara",An American sailor falls in love with a fisherman's daughter and convinces her that Jesus is more powerful than the gods who have cursed her.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMDYxMGJiMzYtZWY4ZC00YTljLWFmM2MtMzAzOWM4ZTZkOGNhXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,137,tt0004838,movie,N/A,N/A,N/A,N/A,True,
45,Alias Jimmy Valentine,1915,N/A,22 Feb 1915,65 min,"Crime, Drama",Maurice Tourneur,"Paul Armstrong (play), O. Henry (story ""A Retrieved Reformation""), Maurice Tourneur","Robert Warwick, Robert Cummings, Alec B. Francis, Frederick Truesdell","After robbing a bank, a criminal is wrongfully pardoned from prison.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMzJiZWJlOGEtZjcwYi00ZDExLWFlNTgtMDE0Nzg1YjA0MDZmXkEyXkFqcGdeQXVyODc1NDEwNzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,215,tt0004872,movie,N/A,N/A,N/A,N/A,True,
46,Alice in Wonderland,1915,Not Rated,19 Jan 1915,52 min,"Adventure, Family, Fantasy",W.W. Young,"Lewis Carroll (novel), W.W. Young (adapted by)","Viola Savoy, Herbert Rice, Harry Marks, Louis Merkle",Alice goes with her sister to a picnic and then she falls asleep and starts dreaming about a wonderland full of talking animals and walking playing cards.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNjFlNjY4NWMtYWU4MS00ZGVmLWEyNTMtMDZmNzRhNDVlOGVjXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,417,tt0004873,movie,N/A,N/A,N/A,N/A,True,
47,The Birth of a Nation,1915,TV-PG,21 Mar 1915,195 min,"Drama, History, War",D.W. Griffith,"Thomas Dixon Jr. (adapted from his novel: ""The Clansman: An Historical Romance of the Ku Klux Klan""), Thomas Dixon Jr. (play), Thomas Dixon Jr. (novel), D.W. Griffith, Frank E. Woods","Lillian Gish, Mae Marsh, Henry B. Walthall, Miriam Cooper","The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan.",None,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BYTM4ZDhiYTQtYzExNC00YjVlLTg2YWYtYTk3NTAzMzcwNTExXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",N/A,6.2,"23,071",tt0004972,movie,08 Jul 2016,N/A,"David W. Griffith Corp., Epoch Producing Corporation",N/A,True,
48,Carmen,1915,Not Rated,31 Oct 1915,59 min,Drama,Cecil B. DeMille,"Prosper Mérimée (novel), William C. de Mille (photoplay)","Geraldine Farrar, Wallace Reid, Pedro de Cordoba, Horace B. Carpenter","In order to help her smuggler kinsmen, a sultry gypsy seduces and corrupts an officer of the Civil Guard turning him into a traitor and murderer.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTg5MzkwMTkzNl5BMl5BanBnXkFtZTgwNTgwMTYxMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,6.4,920,tt0005060,movie,14 Jan 2020,N/A,Jesse L. Lasky Feature Play Company,N/A,True,
49,The Cheat,1915,Not Rated,13 Dec 1915,59 min,"Drama, Romance",Cecil B. DeMille,"Hector Turnbull (scenario), Jeanie Macpherson (scenario)","Fannie Ward, Sessue Hayakawa, Jack Dean, James Neill","A venal, spoiled stockbroker's wife impulsively embezzles $10,000 from the charity she chairs and desperately turns to a Burmese ivory trader to replace the stolen money.","None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BMjEzMjcxNTM5M15BMl5BanBnXkFtZTgwMzgwNjQ1MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,6.6,"2,377",tt0005078,movie,02 Oct 2016,N/A,Jesse L. Lasky Feature Play Co.,N/A,True,
50,The Coward,1915,Not Rated,14 Nov 1915,77 min,"Drama, History, War","Reginald Barker, Thomas H. Ince","Thomas H. Ince (screenplay), Thomas H. Ince (story)","Frank Keenan, Charles Ray, Gertrude Claire, Patricia Palmer","Colonel Winslow, veteran of the Mexican War, hopes for a great future for his only son, Frank. At the outbreak of the Civil War, a recruiting station is opened in the Virginia village where...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjE5MzQ5NTMyNF5BMl5BanBnXkFtZTgwNjkwOTMyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,253,tt0005149,movie,N/A,N/A,Triangle Film Corporation,N/A,True,
51,A Fool There Was,1915,Not Rated,12 Jan 1915,67 min,Drama,Frank Powell,"Porter Emerson Browne (by), Roy L. McCardell (""Picturized By"",  i.e.,  screenplay)","Runa Hodges, Mabel Frenyear, Edward José, May Allison",A married diplomat falls hopelessly under the spell of a predatory woman.,"None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BNWNjNjI3YjQtN2FkNS00NzQwLTk0ZGUtNGRjY2RhZWQ4N2Q4XkEyXkFqcGdeQXVyNzk3ODM4NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",N/A,5.8,816,tt0005339,movie,01 May 2017,N/A,Fox Film Corporation,N/A,True,
52,The Golden Chance,1915,N/A,30 Dec 1915,74 min,Drama,Cecil B. DeMille,"Cecil B. DeMille (story), Jeanie Macpherson (story)","Cleo Ridgely, Wallace Reid, Horace B. Carpenter, Ernest Joy",Mary Denby becomes a seamstress after her husband Steve wastes their money on booze. Her employer provides her as an escort to accompany millionaire Roger Manning. Her husband tries ...,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQ1NjkzMjA5MF5BMl5BanBnXkFtZTcwMjI2MjEzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,125,tt0005402,movie,N/A,N/A,N/A,N/A,True,
53,Blind Justice,1916,N/A,29 Jan 1917,100 min,"Crime, Drama, Horror, Mystery, Thriller",Benjamin Christensen,Benjamin Christensen,"Benjamin Christensen, Karen Caspersen, Peter Fjelstrup, Charles Wilken","A criminal escapes from prison, however a betrayal leads to his second arrest.",None,Denmark,N/A,https://m.media-amazon.com/images/M/MV5BOWRmYmUwNTQtOTY1Ni00MGYzLWI0MTAtNDc4YThhN2U1N2E4XkEyXkFqcGdeQXVyNjU1ODUzOTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,281,tt0005529,movie,N/A,N/A,N/A,N/A,True,
54,The Italian,1915,Passed,01 Jan 1915,72 min,Drama,Reginald Barker,"Thomas H. Ince (story), C. Gardner Sullivan (story)","George Beban, Clara Williams, J. Frank Burke, Leo Willis",An immigrant leaves his sweetheart in Italy to find a better life across the sea in the grimy slums of New York. They are eventually reunited and marry. But life in New York is hard and ...,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BNjlkY2M2NDYtOWUxMS00YmVmLWFhZDUtMTNjZDEzNTQ0YWU3XkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}]",N/A,6.5,319,tt0005557,movie,N/A,N/A,New York Motion Picture Corporation,N/A,True,
55,Marvelous Maciste,1915,N/A,01 Aug 1915,67 min,Adventure,"Luigi Romano Borgnetto, Vincenzo Denizot","Agnes Fletcher Bain (scenario), Giovanni Pastrone (screenplay)","Bartolomeo Pagano, Leone Papa, Clementina Gay, Amelia Chellini","A young girl, pursued by a band of conspirators, hides in a movie theatre where she watches the film Cabiria. She determines to seek the aid of that film's strongman, Maciste. When she ...",Italian,Italy,N/A,https://m.media-amazon.com/images/M/MV5BMmQyODRiY2YtNjg3MS00NmUyLTk4YjEtYmMyYWE1YzMyYjdlXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,64,tt0005680,movie,N/A,N/A,N/A,N/A,True,
56,Martyrs of the Alamo,1915,Not Rated,21 Nov 1915,71 min,"Drama, History, War, Western",Christy Cabanne,"Christy Cabanne, Theodosia Harris (novel)","Sam De Grasse, Allan Sears, Walter Long, Alfred Paget",The story of the defense of the mission-turned-fortress by 185 Texans against an overwhelming Mexican army in 1836.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BY2U3YjcyYWEtYjJkNy00OTNiLTlhNGItNTg2NGY2NTE2YTVmXkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,138,tt0005719,movie,20 Apr 2004,N/A,N/A,N/A,True,
57,The Nigger,1915,N/A,29 Mar 1915,50 min,Drama,Edgar Lewis,"Edgar Lewis (scenario), Edward Sheldon (play)","William Farnum, Claire Whitney, George De Carlton, Henry Armetta",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,284,tt0005809,movie,N/A,N/A,N/A,N/A,True,
58,After Death,1915,N/A,29 Dec 1915,46 min,Drama,Yevgeny Bauer,"Yevgeny Bauer, Ivan Turgenev (novel)","Vitold Polonsky, Olga Rakhmanova, Vera Karalli, Mariya Khalatova","Andrei lives a secluded life with his aunt, studying and thinking about his now-deceased mother. His friend Tsenin is concerned, and tries to get Andrei to accompany him to social events. ...","None, Russian",Russia,N/A,https://m.media-amazon.com/images/M/MV5BZDllNDcyYzItYWE1Mi00NDE3LTgwODEtYTk2MjRlMDkzZWU2XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,822,tt0005916,movie,N/A,N/A,N/A,N/A,True,
59,Satan's Rhapsody,1917,N/A,01 Jul 1917,55 min,"Drama, Fantasy, Horror, Mystery",Nino Oxilia,"Alberto Fassini (screenplay), Alberto Fassini (story), Fausto Maria Martini (poem)","Lyda Borelli, Andrea Habay, Ugo Bazzini, Giovanni Cini","A Faustian tale about an old woman who makes a pact with Mephisto to regain her youth, in return she must stay away from love. After the deal she meets two brothers who fall in love with her.",None,Italy,N/A,https://m.media-amazon.com/images/M/MV5BMWZhNTdkZDctNWE3Yy00NjZhLTkyYjktY2NhMGEwNGQyMTkwXkEyXkFqcGdeQXVyNDY3MTQwMzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,633,tt0005951,movie,N/A,N/A,N/A,N/A,True,
60,The Regeneration,1915,Passed,13 Sep 1915,72 min,"Biography, Crime, Drama, Romance",Raoul Walsh,"Owen Frawley Kildare (book), Raoul Walsh (adapted from the book: ""My Mamie Rose""), Carl Harbaugh (adapted from the book: ""My Mamie Rose"")","Rockliffe Fellowes, Anna Q. Nilsson, William Sheer, Carl Harbaugh",A boy surrounded by violence grows up to become an infamous gangster.,"None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BNDkxZGU4NmMtODJlNy00YzA2LTg4ZGMtNGFlNzAyNzcxOTM1XkEyXkFqcGdeQXVyOTM3MjcyMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.8,"1,150",tt0005960,movie,N/A,N/A,N/A,N/A,True,
61,Les vampires,1915,Not Rated,23 Nov 1916,421 min,"Action, Adventure, Crime, Drama, Mystery, Thriller",Louis Feuillade,Louis Feuillade,"Musidora, Édouard Mathé, Marcel Lévesque, Jean Aymé",An intrepid reporter and his loyal friend battle a bizarre secret society of criminals known as The Vampires.,"None, French, English",France,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTc1NTY3NDIzNl5BMl5BanBnXkFtZTgwNTIyODg5MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,7.3,"4,353",tt0006206,movie,N/A,N/A,N/A,N/A,True,
62,Young Romance,1915,N/A,21 Jan 1915,59 min,Comedy,George Melford,"William C. de Mille (play), William C. de Mille (screenplay)","Edith Taliaferro, Florence Dagmar, Tom Forman, Frederick Wilson","Young Romance, released in 1915, is a recent rediscovery that forever silences the claim that refined comedy cannot be conveyed via the screen. This disguise plot, worthy of an Elizabethan ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BYWY1ODI4NDUtYjRjOS00MzIwLWExZWEtYzdlOWFlMDlmMzI5XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,149,tt0006327,movie,N/A,N/A,N/A,N/A,True,
63,"20,000 Leagues Under the Sea",1916,Passed,24 Dec 1916,105 min,"Action, Adventure, Sci-Fi",Stuart Paton,"Jules Verne (based on: ""Twenty Thousand Leagues Under the Sea"" by)","Dan Hanlon, Edna Pendleton, Curtis Benton, Allen Holubar",A French professor and his daughter accompany Captain Nemo on an adventure aboard a submarine.,"None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTQ0OTk3MTIzNV5BMl5BanBnXkFtZTgwNDA5MjAwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.2,"1,556",tt0006333,movie,N/A,N/A,N/A,N/A,True,
64,The Children in the House,1916,N/A,30 Apr 1916,50 min,Drama,"Chester M. Franklin, Sidney Franklin",Roy Somerville,"Norma Talmadge, Alice Wilson, Jewel Carmen, William Hinckley",Roy Somerville has turned out a rather interesting story that will hold the interest of the majority of audiences as produced by the Triangle-Fine Arts Company. It is a five-reel feature ...,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjU1MTgzODU5M15BMl5BanBnXkFtZTcwMjU1NDE2Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,551,tt0006509,movie,N/A,N/A,N/A,N/A,True,
65,Civilization,1915,N/A,02 Jun 1916,85 min,Drama,"Reginald Barker, Thomas H. Ince, Raymond B. West, Walter Edwards, David Hartford, Jay Hunt, J. Parker Read Jr.",C. Gardner Sullivan,"Howard Hickman, Enid Markey, Lola May, Kate Bruce",Christ takes on the form of a pacifist count to end a senseless war.,"None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BOTc5Yzk0OGYtNmI4Mi00YTU5LThmZjEtOWJiNDNiMDBlNGE2XkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,296,tt0006517,movie,28 Mar 2000,N/A,N/A,N/A,True,
66,The Devil's Needle,1916,N/A,13 Aug 1916,59 min,Drama,Chester Withey,"Roy Somerville, Chester Withey","Tully Marshall, Norma Talmadge, Marguerite Marsh, F.A. Turner","Wynne Mortimer, a pampered society girl and daughter of William Mortimer, a prominent business man, chances to meet David White, a young artist whose fame is already assured, at an art ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BZjU1MTIyMmQtODhjMy00NDhjLWI0ZTktNDNkMTEwOGExMWU2XkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,132,tt0006589,movie,N/A,N/A,N/A,N/A,True,
67,Dödskyssen,1916,N/A,25 Aug 1916,60 min,"Comedy, Crime, Drama, Mystery, Thriller",Victor Sjöström,"A.V. Samsjö (play), Sam Ask (book), Victor Sjöström (book), G. Sjöberg (screenplay unused)","Victor Sjöström, Albin Lavén, Mathias Taube, Wanda Rothgardt",Dr Monro is found dead in his home. Three people are testifying before the police about what happened.,None,Sweden,N/A,https://m.media-amazon.com/images/M/MV5BOTNjYmFkMDItMTY2Ni00ZTIxLTg2NDctNDhkOTg1YjdjODQ5XkEyXkFqcGdeQXVyMDk1ODM3MA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,204,tt0006617,movie,N/A,N/A,N/A,N/A,True,
68,Flirting with Fate,1916,Not Rated,09 Jul 1916,50 min,"Adventure, Comedy",Christy Cabanne,Robert M. Baker (story),"Douglas Fairbanks, Jewel Carmen, Howard Gaye, W.E. Lawrence","In the midst of an emotional depression, a man hires a murderer to kill him. But the despair soon passes, and the man must now escape the killer he's hired to end his life.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjRlN2MzZWItMDRiNC00NTJmLTg3NTktYjJkMTcwMTQ5YzQ2XkEyXkFqcGdeQXVyMDI3OTIzOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,143,tt0006688,movie,27 Jun 2006,N/A,N/A,N/A,True,
69,Going Straight,1916,N/A,04 Jun 1916,60 min,"Crime, Drama","Chester M. Franklin, Sidney Franklin",Bernard McConville,"Norma Talmadge, Ralph Lewis, Ninon Fovieri, Francis Carpenter","A man and his wife both have criminal pasts, but have quit crime and are now respectable citizens. One day a member of their old gang shows up and threatens to expose them if they don't ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNDQ0YzBhZmMtNTY0NS00MzZlLTg3M2YtYzkzOTk5MjgyODM5XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,609,tt0006731,movie,N/A,N/A,N/A,N/A,True,
